,Shares,URL,Text,Insider,Position,Transaction,Start Date,Ownership,Value
0,1255,,,AUSTIN WANDA M,Director,,2026-01-30,D,
1,1255,,,GORSKY ALEX,Director,,2026-01-30,D,
2,1255,,,LOZANO MONICA C.,Director,,2026-01-30,D,
3,1255,,,SUGAR RONALD D,Director,,2026-01-30,D,
4,1255,,,WAGNER SUSAN L,Director,,2026-01-30,D,
5,1255,,,JUNG ANDREA,Director,,2026-01-30,D,
6,1113,,,LEVINSON ARTHUR D,Director,,2026-01-30,D,
7,3750,,Stock Gift at price 0.00 per share.,ADAMS KATHERINE L,General Counsel,,2025-11-12,D,0.0
8,3752,,Sale at price 271.23 per share.,KONDO CHRISTOPHER,Officer,,2025-11-07,D,1017655.0
9,4199,,Sale at price 245.89 - 248.73 per share.,PAREKH KEVAN,Chief Financial Officer,,2025-10-16,D,1038787.0
10,16457,,,PAREKH KEVAN,Chief Financial Officer,,2025-10-15,D,
11,7371,,,KONDO CHRISTOPHER,Officer,,2025-10-15,D,
12,43013,,Sale at price 257.36 - 258.08 per share.,O'BRIEN DEIRDRE,Officer,,2025-10-02,D,11071078.0
13,47125,,Sale at price 254.83 - 257.54 per share.,ADAMS KATHERINE L,General Counsel,,2025-10-02,D,12101154.0
14,129963,,Sale at price 254.83 - 257.57 per share.,COOK TIMOTHY D,Chief Executive Officer,,2025-10-02,D,33375723.0
15,92403,,,O'BRIEN DEIRDRE,Officer,,2025-10-01,D,
16,92403,,,KHAN SABIH,Chief Operating Officer,,2025-10-01,D,
17,92403,,,ADAMS KATHERINE L,General Counsel,,2025-10-01,D,
18,277206,,,COOK TIMOTHY D,Chief Executive Officer,,2025-10-01,D,
19,90000,,Sale at price 232.07 per share.,LEVINSON ARTHUR D,Director,,2025-08-28,D,20886300.0
20,435,,Stock Gift at price 0.00 per share.,KONDO CHRISTOPHER,Officer,,2025-08-25,D,0.0
21,34821,,Sale at price 223.20 per share.,O'BRIEN DEIRDRE,Officer,,2025-08-08,D,7772047.0
22,4486,,Sale at price 208.19 per share.,KONDO CHRISTOPHER,Officer,,2025-05-12,D,933955.0
23,4570,,Sale at price 206.00 per share.,PAREKH KEVAN,Chief Financial Officer,,2025-04-23,D,941420.0
24,16458,,,PAREKH KEVAN,Chief Financial Officer,,2025-04-15,D,
