,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.097200006,1426283914,377366178814,0.019199999
1,2025-12-31,Blackrock Inc.,0.078600004,1154665731,305501443603,0.0073
2,2025-12-31,State Street Corporation,0.041100003,604056505,159821261981,0.011
3,2025-12-31,"Geode Capital Management, LLC",0.024400001,358032517,94728238540,0.0052
4,2025-09-30,"FMR, LLC",0.0207,303254081,80234960678,-0.0114
5,2025-09-30,"Berkshire Hathaway, Inc",0.0162,238212764,63026329900,-0.1492
6,2025-12-31,Morgan Stanley,0.015700001,230483035,60981198305,0.006
7,2025-12-31,JPMORGAN CHASE & CO,0.0154,225419111,59641385361,-0.5237
8,2025-09-30,Price (T.Rowe) Associates Inc,0.0145000005,212755053,56290729065,0.0495
9,2025-12-31,NORGES BANK,0.013099999,192255086,50866848072,0.0128999995
