Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-05-21 06:00:00-04:00,12.96,,
2026-01-29 08:00:00-05:00,11.75,12.14,3.32
2025-10-23 06:00:00-04:00,12.81,12.04,-6.02
2025-07-22 03:00:00-04:00,12.64,11.79,-6.76
2025-05-21 09:00:00-04:00,13.7,13.05,-4.74
2025-01-28 05:00:00-05:00,12.25,11.87,-3.13
2024-10-24 03:00:00-04:00,14.64,14.52,-0.79
2024-07-29 08:00:00-04:00,12.22,13.38,9.48
2024-05-14 09:00:00-04:00,13.68,13.96,2.04
2024-01-22 04:00:00-05:00,10.86,12.14,11.74
2023-10-26 06:00:00-04:00,11.89,12.5,5.13
2023-07-26 09:00:00-04:00,9.65,10.59,9.78
2023-05-12 07:00:00-04:00,9.36,11.68,24.81
2023-01-24 03:00:00-05:00,9.8,8.94,-8.82
2022-10-20 04:00:00-04:00,9.85,10.22,3.81
2022-07-27 04:00:00-04:00,9.3,7.97,-14.35
2022-05-26 02:00:00-04:00,9.14,11.9,30.22
2022-01-27 03:00:00-05:00,9.25,9.28,0.32
2021-10-25 04:00:00-04:00,10.67,9.9,-7.24
2021-07-29 02:00:00-04:00,8.81,8.58,-2.62
2021-05-17 03:00:00-04:00,9.17,11.57,26.22
2021-01-28 02:00:00-05:00,8.83,9.13,3.43
2020-10-21 05:00:00-04:00,9.13,10.08,10.38
2020-07-29 03:00:00-04:00,5.88,7.29,23.93
2020-05-21 04:00:00-04:00,7.89,7.51,-4.77
