,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-434311.134602,-51025504.538744,-28105647.03821,-1192734.708223
Tax Rate For Calcs,0.255477,0.256926,0.25717,0.234698
Normalized EBITDA,20970700000.0,19777000000.0,16003190000.0,15927169000.0
Total Unusual Items,-1700000.0,-198600000.0,-109288000.0,-5082000.0
Total Unusual Items Excluding Goodwill,-1700000.0,-198600000.0,-109288000.0,-5082000.0
Net Income From Continuing Operation Net Minority Interest,14368100000.0,13236600000.0,10471465000.0,10783187000.0
Reconciled Depreciation,1627400000.0,1715100000.0,1748037000.0,1773033000.0
Reconciled Cost Of Revenue,21351900000.0,20301200000.0,20764638000.0,19173223000.0
EBITDA,20969000000.0,19578400000.0,15893902000.0,15922087000.0
EBIT,19341600000.0,17863300000.0,14145865000.0,14149054000.0
Net Interest Income,1298800000.0,678900000.0,360888000.0,160092000.0
Interest Expense,43200000.0,50000000.0,49138000.0,58949000.0
Interest Income,1342000000.0,728900000.0,410026000.0,219041000.0
Normalized Income,14369365688.865398,13384174495.461256,10552647352.96179,10787076265.291777
Net Income From Continuing And Discontinued Operation,14368100000.0,13236600000.0,10471465000.0,10783187000.0
Total Expenses,42011000000.0,39145100000.0,38147049000.0,36760857000.0
Rent Expense Supplemental,68500000.0,47200000.0,49156000.0,54815000.0
Diluted Average Shares,271985634.0,271985634.0,271985634.0,271985634.0
Basic Average Shares,271985634.0,271985634.0,271985634.0,271985634.0
Diluted EPS,52.83,48.67,38.5,39.65
Basic EPS,52.83,48.67,38.5,39.65
Diluted NI Availto Com Stockholders,14368100000.0,13236600000.0,10471465000.0,10783187000.0
Net Income Common Stockholders,14368100000.0,13236600000.0,10471465000.0,10783187000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,14368100000.0,13236600000.0,10471465000.0,10783187000.0
Net Income Including Noncontrolling Interests,14368100000.0,13236600000.0,10471465000.0,10783187000.0
Net Income Continuous Operations,14368100000.0,13236600000.0,10471465000.0,10783187000.0
Tax Provision,4930300000.0,4576700000.0,3625262000.0,3306918000.0
Pretax Income,19298400000.0,17813300000.0,14096727000.0,14090105000.0
Other Non Operating Income Expenses,42800000.0,32600000.0,87103000.0,43589000.0
Special Income Charges,-1700000.0,-198600000.0,-109288000.0,-5082000.0
Other Special Charges,-3600000.0,2500000.0,-3128000.0,1638000.0
Write Off,5300000.0,1100000.0,329000.0,3444000.0
Restructuring And Mergern Acquisition,0.0,195000000.0,112087000.0,0.0
Net Non Operating Interest Income Expense,1298800000.0,678900000.0,360888000.0,160092000.0
Interest Expense Non Operating,43200000.0,50000000.0,49138000.0,58949000.0
Interest Income Non Operating,1342000000.0,728900000.0,410026000.0,219041000.0
Operating Income,17981000000.0,17296700000.0,13731587000.0,13903694000.0
Operating Expense,20659100000.0,18843900000.0,17382411000.0,17587634000.0
Other Operating Expenses,4924600000.0,4138300000.0,4225688000.0,4067507000.0
Depreciation And Amortization In Income Statement,1627400000.0,1715100000.0,1748037000.0,1773033000.0
Depreciation Income Statement,1627400000.0,1715100000.0,1748037000.0,1773033000.0
Selling General And Administration,9980500000.0,9188500000.0,7955416000.0,8158846000.0
Selling And Marketing Expense,9896600000.0,9108600000.0,7869514000.0,8074390000.0
General And Administrative Expense,83900000.0,79900000.0,85902000.0,84456000.0
Rent And Landing Fees,68500000.0,47200000.0,49156000.0,54815000.0
Gross Profit,38640100000.0,36140600000.0,31113998000.0,31491328000.0
Cost Of Revenue,21351900000.0,20301200000.0,20764638000.0,19173223000.0
Total Revenue,59992000000.0,56441800000.0,51878636000.0,50664551000.0
Operating Revenue,59992000000.0,56441800000.0,51878636000.0,50664551000.0
