,2025-03-31,2024-09-30
Ordinary Shares Number,271985634.0,271985634.0
Share Issued,271985634.0,271985634.0
Total Debt,608400000.0,700500000.0
Tangible Book Value,16644700000.0,16527800000.0
Invested Capital,16644700000.0,16527800000.0
Working Capital,4855700000.0,4683400000.0
Net Tangible Assets,16644700000.0,16527800000.0
Capital Lease Obligations,608400000.0,700500000.0
Common Stock Equity,16644700000.0,16527800000.0
Total Capitalization,16644700000.0,16527800000.0
Total Equity Gross Minority Interest,16644700000.0,16527800000.0
Stockholders Equity,16644700000.0,16527800000.0
Other Equity Interest,-139700000.0,16255800000.0
Retained Earnings,12540700000.0,
Additional Paid In Capital,128000000.0,
Capital Stock,272000000.0,272000000.0
Common Stock,272000000.0,272000000.0
Total Liabilities Net Minority Interest,13540800000.0,15954100000.0
Total Non Current Liabilities Net Minority Interest,769400000.0,773600000.0
Other Non Current Liabilities,3000000.0,3500000.0
Non Current Pension And Other Postretirement Benefit Plans,299100000.0,
Tradeand Other Payables Non Current,3000000.0,
Long Term Debt And Capital Lease Obligation,454300000.0,582600000.0
Long Term Capital Lease Obligation,454300000.0,582600000.0
Long Term Provisions,299100000.0,174500000.0
Current Liabilities,12771400000.0,15180500000.0
Other Current Liabilities,1355000000.0,1162400000.0
Current Debt And Capital Lease Obligation,154100000.0,117900000.0
Current Capital Lease Obligation,154100000.0,117900000.0
Pensionand Other Post Retirement Benefit Plans Current,1015500000.0,
Current Provisions,1015500000.0,962800000.0
Payables,11504100000.0,12466400000.0
Other Payable,1313800000.0,
Dividends Payable,412800000.0,
Total Tax Payable,569600000.0,1219700000.0
Accounts Payable,9207900000.0,11246700000.0
Total Assets,30185500000.0,32481900000.0
Total Non Current Assets,12558400000.0,12618000000.0
Other Non Current Assets,89700000.0,106600000.0
Non Current Prepaid Assets,242800000.0,
Non Current Deferred Taxes Assets,679500000.0,552700000.0
Investmentin Financial Assets,178300000.0,171800000.0
Available For Sale Securities,178300000.0,171800000.0
Net PPE,8148700000.0,8536000000.0
Accumulated Depreciation,-14569900000.0,
Gross PPE,22718600000.0,8536000000.0
Construction In Progress,384100000.0,313700000.0
Other Properties,1253200000.0,8222300000.0
Machinery Furniture Equipment,15894100000.0,
Buildings And Improvements,5187200000.0,
Properties,0.0,
Current Assets,17627100000.0,19863900000.0
Other Current Assets,100000.0,469900000.0
Restricted Cash,4270300000.0,
Prepaid Assets,614600000.0,
Inventory,3772600000.0,3487100000.0
Finished Goods,2291700000.0,
Work In Process,366100000.0,
Raw Materials,1114800000.0,
Other Receivables,26100000.0,66900000.0
Accounts Receivable,2262400000.0,1988100000.0
Allowance For Doubtful Accounts Receivable,-84900000.0,
Gross Accounts Receivable,2347300000.0,
Cash Cash Equivalents And Short Term Investments,6681000000.0,13851900000.0
Other Short Term Investments,4335100000.0,5793900000.0
Cash And Cash Equivalents,6681000000.0,8058000000.0
Cash Equivalents,6279800000.0,
Cash Financial,401200000.0,
