,Shares,Value,URL,Text,Insider,Position,Transaction,Start Date,Ownership
0,600,184037,,Sale at price 306.11 - 307.77 per share.,HENNESSY JOHN L,Director,,2026-02-13,I
1,600,202514,,Sale at price 335.13 - 339.75 per share.,HENNESSY JOHN L,Director,,2026-01-13,I
2,39200,0,,Stock Gift at price 0.00 per share.,SHRIRAM KAVITARK RAM,Director,,2025-12-09,I
3,243508,0,,Stock Gift at price 0.00 per share.,SHRIRAM KAVITARK RAM,Director,,2025-09-25,I
4,26000,5330000,,Sale at price 205.00 per share.,SHRIRAM KAVITARK RAM,Director,,2025-08-15,D/I
5,33566,6235220,,Sale at price 185.76 per share.,SHRIRAM KAVITARK RAM,Director,,2025-07-18,D/I
6,19500,3412500,,Sale at price 175.00 per share.,SHRIRAM KAVITARK RAM,Director,,2025-05-22,D/I
7,53066,9810567,,Sale at price 182.49 - 185.51 per share.,SHRIRAM KAVITARK RAM,Director,,2025-02-18,D/I
8,26000,5330000,,Sale at price 205.00 per share.,SHRIRAM KAVITARK RAM,Director,,2025-01-31,D/I
9,1500,284693,,Sale at price 187.90 - 190.40 per share.,HENNESSY JOHN L,Director,,2025-01-13,I
10,65400,0,,Stock Gift at price 0.00 per share.,SHRIRAM KAVITARK RAM,Director,,2024-12-18,I
11,1500,291336,,Sale at price 192.80 - 195.03 per share.,HENNESSY JOHN L,Director,,2024-12-12,I
12,72500,13413721,,Sale at price 185.01 - 185.02 per share.,SHRIRAM KAVITARK RAM,Director,,2024-12-10,D/I
13,1500,271125,,Sale at price 179.80 - 182.03 per share.,HENNESSY JOHN L,Director,,2024-11-12,I
14,19500,3459495,,Sale at price 177.41 per share.,SHRIRAM KAVITARK RAM,Director,,2024-11-07,D/I
15,19500,3525210,,Sale at price 180.78 per share.,SHRIRAM KAVITARK RAM,Director,,2024-10-30,D/I
16,1500,247432,,Sale at price 163.70 - 165.27 per share.,HENNESSY JOHN L,Director,,2024-10-14,I
17,391400,0,,Stock Gift at price 0.00 per share.,SHRIRAM KAVITARK RAM,Director,,2024-10-10,I
18,700,115500,,Sale at price 165.00 per share.,HENNESSY JOHN L,Director,,2024-09-23,I
19,800,123003,,Sale at price 153.47 - 154.22 per share.,HENNESSY JOHN L,Director,,2024-09-12,I
20,700,115500,,Sale at price 165.00 per share.,HENNESSY JOHN L,Director,,2024-08-16,I
21,800,130421,,Sale at price 162.62 - 164.46 per share.,HENNESSY JOHN L,Director,,2024-08-12,I
22,1500,278775,,Sale at price 185.59 - 186.41 per share.,HENNESSY JOHN L,Director,,2024-07-12,I
23,2790,0,,Stock Award(Grant) at price 0.00 per share.,HENNESSY JOHN L,Director,,2024-07-03,D
24,836,148124,,Sale at price 176.73 - 179.19 per share.,HENNESSY JOHN L,Director,,2024-06-12,I
