,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.090900004,528969322,166614762854,0.024300002
1,2025-12-31,Blackrock Inc.,0.0759,441987843,139217335643,0.031600002
2,2025-09-30,"FMR, LLC",0.0395,229968777,72435567905,0.062800005
3,2025-12-31,State Street Corporation,0.0392,228296955,71908977394,0.0087
4,2025-12-31,"Geode Capital Management, LLC",0.0251,146193037,46047884400,0.0186
5,2025-12-31,Morgan Stanley,0.0209,121794366,38362790740,-0.0011999999
6,2025-12-31,NORGES BANK,0.0168,97553478,30727395572,-0.2166
7,2025-09-30,Price (T.Rowe) Associates Inc,0.0147,85450886,26915321011,0.1513
8,2025-09-30,Bank of America Corporation,0.0117999995,68951044,21718200596,-0.0218
9,2025-09-30,Northern Trust Corporation,0.0114,66505561,20947922334,-0.0022
