Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-02-10 04:00:00-05:00,8.85,6.7,-24.29
2025-11-10 03:00:00-05:00,9.15,9.58,4.7
2025-08-01 05:00:00-04:00,9.67,10.31,6.66
2025-05-06 04:00:00-04:00,6.55,7.67,17.1
2025-02-04 06:00:00-05:00,6.43,6.36,-1.01
2024-11-08 03:00:00-05:00,7.75,6.06,-21.81
2024-08-07 04:00:00-04:00,10.7,7.5,-29.91
2024-05-14 04:00:00-04:00,8.1,8.97,10.74
2024-02-07 03:00:00-05:00,9.7,8.98,-7.42
2023-11-01 04:00:00-04:00,7.43,7.14,-3.84
2023-08-09 04:00:00-04:00,9.15,10.46,14.26
2023-05-16 04:00:00-04:00,6.15,7.35,19.43
2023-02-08 02:00:00-05:00,4.3,6.62,53.84
2022-11-04 03:00:00-04:00,2.85,5.32,86.67
2022-08-11 04:00:00-04:00,7.45,5.79,-22.35
2022-05-13 04:00:00-04:00,1.05,2.36,124.72
2022-02-08 03:00:00-05:00,2.65,1.46,-45.09
2021-10-30 04:00:00-04:00,1.13,2.28,100.74
2021-08-11 03:00:00-04:00,-2.5,0.56,122.2
2021-05-13 04:00:00-04:00,0.35,1.39,297.14
2021-02-12 02:00:00-05:00,1.15,0.27,-76.96
2020-11-10 01:00:00-05:00,-1.05,-2.0,-90.95
2020-06-04 03:00:00-04:00,1.22,1.06,-13.17
2020-02-05 03:00:00-05:00,1.49,2.05,37.71
