,Shares,Value,URL,Text,Insider,Position,Transaction,Start Date,Ownership
0,100000,2426700,,Sale at price 24.27 per share.,Safari Investment Pvt Ltd,Promoter,,2025-12-18,D
1,1500,40627,,Sale at price 27.09 per share.,Gautam (Siddharth),UNREPORTED,,2025-12-01,D
2,1395,38213,,Sale at price 27.39 per share.,Bharadva (Hasmukh),UNREPORTED,,2025-11-25,D
3,212,5795,,Sale at price 27.34 per share.,Bharadva (Hasmukh),UNREPORTED,,2025-11-25,D
4,2000,54615,,Sale at price 27.31 per share.,Sinha (Paritosh),UNREPORTED,,2025-11-25,D
5,1978,51599,,Sale at price 26.09 per share.,Ramaswamy (Jagan),UNREPORTED,,2025-11-24,D
6,1900,51366,,Sale at price 27.04 per share.,Shaikh (Rameez),UNREPORTED,,2025-11-24,D
7,2393,61946,,Sale at price 25.89 per share.,Bhartwal (Deepak),UNREPORTED,,2025-11-19,D
8,1726,44796,,Sale at price 25.95 per share.,Ramaswamy (Jagan),UNREPORTED,,2025-11-18,D
9,1000,25935,,Sale at price 25.94 per share.,Ramaswamy (Jagan),UNREPORTED,,2025-11-18,D
10,1200,30613,,Sale at price 25.51 per share.,Kumar (Abhishek),UNREPORTED,,2025-11-17,D
11,1865,48397,,Sale at price 25.95 per share.,Majumdar (Anindya),UNREPORTED,,2025-11-17,D
12,1277,32733,,Sale at price 25.63 per share.,Pathak (Somesh),UNREPORTED,,2025-11-17,D
13,1663,41393,,Sale at price 24.89 per share.,Ranjan (Nishant),UNREPORTED,,2025-11-13,D
14,1000,24618,,Sale at price 24.62 per share.,Keshan (Nazuk),Promoter,,2025-09-30,D
15,778,19214,,Sale at price 24.70 per share.,Kumar (Santosh),Promoter,,2025-09-30,D
16,503,12369,,Sale at price 24.59 per share.,Singh (Ajendra),UNREPORTED,,2025-09-30,D
17,2185,54403,,Sale at price 24.90 per share.,Pathak (Somesh),Promoter,,2025-09-29,D
18,750,18623,,Sale at price 24.83 per share.,Belgur (Veeresh),UNREPORTED,,2025-09-24,D
19,1203,30470,,Sale at price 25.33 per share.,Belgur (Veeresh),Other Executive,,2025-09-19,D
20,2413,62149,,Sale at price 25.76 per share.,Bhartwal (Deepak),Other Executive,,2025-09-19,D
21,1800,8479,,Other at price 4.71 per share.,Sinha (Paritosh),Other Executive,,2025-09-19,D
22,867,19,,Other at price 0.02 per share.,Mehta (Nrupal),Other Executive,,2025-09-19,D
23,2617,12328,,Other at price 4.71 per share.,Mehta (Nrupal),Other Executive,,2025-09-19,D
24,1417,35555,,Sale at price 25.09 per share.,Mehta (Nrupal),Other Executive,,2025-09-19,D
25,1453,32,,Other at price 0.02 per share.,Belgur (Veeresh),Other Executive,,2025-09-16,D
26,1950,49874,,Sale at price 25.58 per share.,Singh (Ajendra),UNREPORTED,,2025-09-12,D
