title,description,published date,url,publisher
Safari Industries (India) Limited Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now - simplywall.st,Safari Industries (India) Limited Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now  simplywall.st,"Fri, 13 Feb 2026 00:39:52 GMT",https://news.google.com/rss/articles/CBMi7gFBVV95cUxPZGlPZWt1QllsNEltRjktTUtTQ2ZHT1phMDJUMGszTGs0U1A1TWtwZ0VwLTZON0NfV1laNDZmWUEta3Nac29XS0Z2S2tQUE5nNjNvV1lJWVZvUlJZQlMtRUVoYjAwRjJiV2RxMWtpUjNBNnhwNXJDeWh0czV5dnFaWjFWNHhZU2ZhczBDZkZFS0VwX2s0eHQ4akc1Vm5mNWZBd2NLR2RxbXA2UlhfV2pyeUl0NXVuNUZpbG9qRFJ0OTdnTEo1TDYxRkJ6VHRCWGRqaFEyV0RPYms1ak1GOUtFaFRpM3ZjTGk3X3o4djZB?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"{'href': 'https://simplywall.st', 'title': 'simplywall.st'}"
"Safari Industries to Raise Up to Rs 500 Crore via QIP, Extends MD Tenure - TipRanks","Safari Industries to Raise Up to Rs 500 Crore via QIP, Extends MD Tenure  TipRanks","Tue, 10 Feb 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMiwAFBVV95cUxQMHJuTDRCYW5fZTJOSnFJNnI1amxxMUVwazdRZVppMkREWWxpbko5R1RJOEdaRjFqOW1YZWFTSnFxY2xpaDIyUWJTMmlSVC1fYnhJNVl6Q21YbENwR3pCaUdvMFJmdm9rTlg4OThNek5MRy1sbzRxMFl4UFJFVUdsV2ZpTTFUb3F2WTNmZFdLN3lEb28zQ1NpR2ZiNkZ0S1gtajdobmxraXY0TGN0RjRFUmNjZnZnV0g1THVEVUlGLXE?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"{'href': 'https://www.tipranks.com', 'title': 'TipRanks'}"
Hold Safari Industries India; target of Rs 2191: Prabhudas Lilladher - TradingView,Hold Safari Industries India; target of Rs 2191: Prabhudas Lilladher  TradingView,"Wed, 11 Feb 2026 06:39:00 GMT",https://news.google.com/rss/articles/CBMiyAFBVV95cUxORGtNSnNKZ0FDZ0tUVkduOFQ3UzNyeS1pM0hzWWtYdm8yN1ZUUlhLTkczZkR1dTk2bEI4cWxIQ01mRjhsQUhnSWhubzRBV1Q1cExEMERmUEZlRGtBY1dyZjBiQnY4S0RYUnZXOGhrcFpFY0RfdEZUZmEzVmYxMktiZkotaVJQTEFwMTNVWWRDNU55QWMtcU9Gb053TXNQdWo5WGcwQ2h0R0hrbDNlakZFeG0xdWEwUEZUQTlZbXlCTVVlWUpONzJnMA?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"{'href': 'https://www.tradingview.com', 'title': 'TradingView'}"
Safari Industries (India) Ltd Hits Intraday Low Amid Price Pressure - Markets Mojo,Safari Industries (India) Ltd Hits Intraday Low Amid Price Pressure  Markets Mojo,"Thu, 12 Feb 2026 09:07:37 GMT",https://news.google.com/rss/articles/CBMiwAFBVV95cUxNMGp4eWR5bEdNV1AtZWs2cF9jQ0g5aDhuYjJMRkJFRWkwX3lVNGp1NUtLNG54cGNqQWs0ekpEUXBuVzItbjA4alZieGNHcnVuUk50WWxLVHUwX2JjX3M2NUd3MkwzNFh2VzJWN0FSdXMyeWhiWlFLWVpIVGNnaVAtNVp2VHpaX3pqSENrd05FYVRuM2R0WTZNS0s1N3RLSnlOeW1PQl9UUWoybWdMRFo0V1dmazdOTzRZWDdKUjVCNk4?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"{'href': 'https://www.marketsmojo.com', 'title': 'Markets Mojo'}"
Safari Industries Appoints Manish Bhatia as Chief Human Resource Officer - scanx.trade,Safari Industries Appoints Manish Bhatia as Chief Human Resource Officer  scanx.trade,"Tue, 27 Jan 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMixAFBVV95cUxNVGkxcFozZjFKRnBVSkd2SXg5bE03d05sZUJCUGU5bVdwOW5oRTdNQXh4b1Q1U1B2bFhucWpNUnF6b3JFNjBUaVNWcnE0dkhnV21iZjdYMUNReHRNajdYOVAzQWRpMS1uYUZyUXRWeWxUNFZyNDB2S00ycmVkUFFvVW1LSWNObV9nS0RVY05XNm9EQl9VNGRycVlZOTJGNjFKbTl3ODlRb0IyR25ybjBZeVRHUE5NcWlMTm9Kc1VHT2dpM1VB?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"{'href': 'https://scanx.trade', 'title': 'scanx.trade'}"
Safari Industries (India) Ltd leads losers in 'A' group - Business Standard,Safari Industries (India) Ltd leads losers in 'A' group  Business Standard,"Thu, 12 Feb 2026 10:01:51 GMT",https://news.google.com/rss/articles/CBMizgFBVV95cUxOYTF3VHlMcDREZTlPMEdqU0Q1X0F6ZFBMTVBGX3JYX2cxNHBKbXFVU2lyWnhJWEY1Z2RBU183Ti1OaXVHRUlLeTFwN1FUNEU5U2RsU2hnTG14NmNsOW1SR3RzanlWOEF5UzU5ZjBpOFZyYUxjUW5PTWFUWHFwQmF2WjhDbU15Y0hBZWVpWkIwSE1UMnJVaS0tNk5rOVBzeFdxT2haamY3VWZwYTdUMDE3bGNLMzBxMnBUZExWZVRZYUxROGlJQi1EbkpZSFBHZ9IB0wFBVV95cUxNZWFfWGRDaDFMV0FrRnNTc1lOQ1llMlNIN0pvU3ROMkhEOWhfS2FCM3BacnRjQmJJOUsxWU5xY3N5MlZoVURlbmthM1JybnUtWnVFOEFpbWhaZVV1SW5taHljY0FzUi1kdmI5VXlJczMwT2djY2J2UHZTeDVnUGNvNWJ5eUhzbExKNWZhY2tmWHZla3ZlMi1OSjIzRFByR1MyekN0bVhPZE5ia21aOXh2bEkwU2Y5QXpWX1RpUzkzdUtKcFVIcVYwYUYwYTZORjhYSVcw?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"{'href': 'https://www.business-standard.com', 'title': 'Business Standard'}"
Safari Industries signs 20-year licensing pact to use Carlton brand in India - CNBC TV18,Safari Industries signs 20-year licensing pact to use Carlton brand in India  CNBC TV18,"Wed, 18 Feb 2026 07:56:21 GMT",https://news.google.com/rss/articles/CBMi1AFBVV95cUxPTzJsSk5HX2sxYkRQenJpWlBHc0tWSVNCTWZDOTY5aUItc3BnRVJuMi1vWVNOXzdHdXY1b0JUYk5DOFN3aFE1QzlkQ1B2TkVzeDhnZEUtTUdRckdqUVUwMDhYWTdZVDhjS3JFNzhGMkZpcm9aREw5SXUyZHRXLUFlZG9kUnZIcm5oOVAwVmVDWGdtR3NQRk1JWWxickQxcnRkSWMtZVd6dXlseWJlOFh4eEdVcGJOdmNCYklGWmctVlRibTZGQzBueDl1WS0xUFE4X2hrWdIB2gFBVV95cUxNc3F5ZlROVmlnSEhvcGdWYTRqZjZPTFd3N0FhSEtuTXhJNW1Ua25WNlBfZ2VyTGx0cGczMmV1Vjc1ZnJRbXF3dzN1aVIyVFR2N2VNdkdUTWx4UFlLdzBQS1JPV0NqMEFWcFdSTElKQ1ItbDZKcXBOeV9Gcjd1RHlQd05UWWowd3hnQjNaMWZuS3BRc0QwcHdOZXZiVmttQzY2UlR5YWwwVXBOcl9kLWprZjYySFFjcVJvNVh2RXBDcGVDdHV5QmNwRTJVWEhaNEVlalZUTHBOaGFHUQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"{'href': 'https://www.cnbctv18.com', 'title': 'CNBC TV18'}"
Safari Industries Board Clears Q3 FY26 Unaudited Results - TipRanks,Safari Industries Board Clears Q3 FY26 Unaudited Results  TipRanks,"Tue, 10 Feb 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMirAFBVV95cUxPT2lsYkRHV3g0U0xiZWFwb051UG91N3ZiZEdhSVFRd1AxNFZCMWFQNm5JSUltdTN2SjR1TDdpTzhTX2RKSWtuNmEzd3NSbmI2YVZTSUoyUlQxdWZlbkp4VHgwTVEwVUFPT1BmcE84ZndPQnBxWVpiS1ZVNWYwR1RTaGV3SHoyNWV5UFRudnlEQ2JMOG9HcHpOc2NrSTFEU0lJS2pzZXMyWFVab19O?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"{'href': 'https://www.tipranks.com', 'title': 'TipRanks'}"
Do Safari Industries (India)'s (NSE:SAFARI) Earnings Warrant Your Attention? - simplywall.st,Do Safari Industries (India)'s (NSE:SAFARI) Earnings Warrant Your Attention?  simplywall.st,"Thu, 12 Feb 2026 00:33:23 GMT",https://news.google.com/rss/articles/CBMi7AFBVV95cUxNREZ2NTNlaTBzeTgxUlRIb2ptb2NCclZ6cFZ5RHBRZEVNU2Ffa1FCeTU2ajVXbC1qUFhaQ1ZZRm9oX0dEVmFFblhsVm5CWTVFQkN2MXVGa2s4V1NzZHVLT0N4YWloNWlrTkRUYnh5TlNGUVkxbUFhSTRnbDYtTnl5QkVxQl92OU5BVUpGZGROOTRYcWpLR3pNNnNleVE4aEVtLWIwVkktSEpGa1BkUXU4YlRtQnRjeDZxcTdiM2taRWFJSDNET09lOXBDalhlcTFOTzBQM0xlZHdyMXdmMDJ3VFBpc2RGS212SEtqOQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"{'href': 'https://simplywall.st', 'title': 'simplywall.st'}"
Safari Industries (India) Ltd Faces Bearish Momentum Amid Mixed Technical Signals - Markets Mojo,Safari Industries (India) Ltd Faces Bearish Momentum Amid Mixed Technical Signals  Markets Mojo,"Tue, 10 Feb 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMi0wFBVV95cUxNa1ZKRjJ5MldhYVBlVEYxZ1JsRW1wZzl0NEQzNHhrd01mNXRaeHdyTXI4ZmF2QVpXS1lJeGZGWFNwMm5CN2RLTlNZSHJYNFhpNVV2NmRWUXJUT0s1S3hYRTlSSlg1Z1BaWHJlbEY1ZUdYak5OeG85eXltWnVxc05PcU1PZHNieHB5eldVdWFMZmsxN2lVVFkwMG1Raklhc1pXcWNyRTBhY3VnS3E3VkxuZE1NUmNVOFFXR2gtNURuZlBqVjA5TjF6SGd3QmpoTnlSZFh3?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"{'href': 'https://www.marketsmojo.com', 'title': 'Markets Mojo'}"
