,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.212027,0.22084,0.228454,0.239531,0.236578,
Normalized EBITDA,615800000.0,797900000.0,850800000.0,668200000.0,575600000.0,
Net Income From Continuing Operation Net Minority Interest,328900000.0,469400000.0,504900000.0,383400000.0,311400000.0,
Reconciled Depreciation,175500000.0,175500000.0,174400000.0,154200000.0,147400000.0,
Reconciled Cost Of Revenue,2741500000.0,2824600000.0,2862400000.0,2507200000.0,2416300000.0,
EBITDA,615800000.0,797900000.0,850800000.0,668200000.0,575600000.0,
EBIT,440300000.0,622400000.0,676400000.0,514000000.0,428200000.0,
Net Interest Income,-22900000.0,-21100000.0,-22000000.0,197800000.0,-20300000.0,
Interest Expense,22900000.0,21100000.0,22000000.0,19700000.0,20300000.0,
Normalized Income,328900000.0,469400000.0,504900000.0,383400000.0,311400000.0,
Net Income From Continuing And Discontinued Operation,328900000.0,469400000.0,504900000.0,383400000.0,311400000.0,
Total Expenses,4742600000.0,4770600000.0,4659900000.0,3698300000.0,4070600000.0,
Diluted Average Shares,49089552.0,48997912.0,48971872.0,,48962264.0,48943894.0
Basic Average Shares,48943452.0,48997912.0,48877057.0,,48885400.0,48863262.0
Diluted EPS,6.7,9.58,10.31,,6.36,6.06
Basic EPS,6.72,9.58,10.33,,6.37,6.07
Diluted NI Availto Com Stockholders,328900000.0,469400000.0,504900000.0,383400000.0,311400000.0,
Net Income Common Stockholders,328900000.0,469400000.0,504900000.0,383400000.0,311400000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,328900000.0,469400000.0,504900000.0,383400000.0,311400000.0,
Net Income Including Noncontrolling Interests,328900000.0,468509000.0,504900000.0,375900000.0,311400000.0,
Net Income Continuous Operations,328900000.0,468509000.0,504900000.0,375900000.0,311400000.0,
Tax Provision,88500000.0,132791000.0,149500000.0,118400000.0,96500000.0,
Pretax Income,417400000.0,601300000.0,654400000.0,494300000.0,407900000.0,
Other Non Operating Income Expenses,61000000.0,57500000.0,58000000.0,-210600000.0,71700000.0,
Net Non Operating Interest Income Expense,-22900000.0,-21100000.0,-22000000.0,197800000.0,-20300000.0,
Interest Expense Non Operating,22900000.0,21100000.0,22000000.0,19700000.0,20300000.0,
Operating Income,381100000.0,564900000.0,618400000.0,474799999.999998,356500000.0,
Operating Expense,2001100000.0,1946000000.0,1797500000.0,1191100000.0,1654300000.0,
Other Operating Expenses,1439700000.0,1415800000.0,1309900000.0,-3010300000.0,1198600000.0,
Depreciation And Amortization In Income Statement,175500000.0,175500000.0,174400000.0,154200000.0,147400000.0,
Depreciation Income Statement,175500000.0,175500000.0,174400000.0,150900000.0,147400000.0,
Gross Profit,2382200000.0,2510900000.0,2415900000.0,1665899999.999998,2010800000.0,
Cost Of Revenue,2741500000.0,2824600000.0,2862400000.0,2507200000.0,2416300000.0,
Total Revenue,5123700000.0,5335500000.0,5278300000.0,4173100000.0,4427100000.0,
Operating Revenue,5123700000.0,5335500000.0,5278300000.0,4173100000.0,4427100000.0,
